conversation_id	turn_id	id	query	original
86	1	86_1	What is the climate like in Utah	What is the climate like in Utah?
86	2	86_2	How does Salt Lake City differ from Salt Lake City climate	How does Salt Lake City differ?
86	3	86_3	What is the main economic activity of Utah Lake salt city great	What is its main economic activity?
86	4	86_4	What was the impact of the 2002 Olympics	What was the impact of the 2002 games?
86	5	86_5	What were important ski locations used in the 2002 Winter Olympics lake salt utah	What were important ski locations used?
86	6	86_6	What are the important non-ski events that happen in the city utah lake salt park	What are the important non-ski events that happen in the city?
86	7	86_7	What about some popular non-winter things to do in the area city utah lake salt	What about some popular non-winter things to do in the area?
87	1	87_1	What are the different types of orange trees	What are the different types of orange trees?
87	2	87_2	How can you tell orange trees apart blood	How can you tell them apart?
87	3	87_3	What type of orange tree has thorns	What type has thorns?
87	4	87_4	Where do orange trees originally come  Where do orange trees originally come from osage	Where do they originally come from?
87	5	87_5	Tell me about the Hamlin variety orange	Tell me about the Hamlin variety.
87	6	87_6	Why did the Hamlin orange replace PB	Why did it replace PB?
87	7	87_7	What are the different types of navels	What are the different types of navels?
87	8	87_8	Which of the most delicious orange varieties is the Cara cara cara, Bahia, Dream	Which is the most delicious?
87	9	87_9	How do oranges compare with blood oranges	How do they compare with blood oranges?
88	1	88_1	Can I have some information on the labor systems of the Ottoman Empire	Can I have some information on the labor systems of the Ottoman Empire?
88	2	88_2	What was the role of slavery in the Ottoman Empire	What was the role of slavery?
88	3	88_3	How did the Ottoman slave system govern slavery sexual	How did it govern?
88	4	88_4	Why was the Ottoman Empire important organisation administrative	Why was it important?
88	5	88_5	What was the culture like in the Ottoman Empire	What was the culture like?
88	6	88_6	What was the role of storytellers in the Ottoman Empire	What was the role of storytellers?
88	7	88_7	What were popular stories in the Ottoman Empire	What were popular stories?
88	8	88_8	What was the importance of the millet	What was the importance of the millet?
88	9	88_9	Why did the British continue slavery millet	Why did the British continue it?
88	10	88_10	What is the historical importance of the millet in developing national identities slavery	What is its historical importance in developing national identities?
89	1	89_1	What is the relationship between predator and prey	What is the relationship between predator and prey?
89	2	89_2	What do predator plants eat	What do predator plants eat?
89	3	89_3	What about Venus flytraps in particular	What about Venus flytraps in particular?
89	4	89_4	Where is Dionaea muscipula native to flytrap venus	Where is it native to?
89	5	89_5	How do Venus flytraps attract and catch their prey	How do they attract and catch their prey?
89	6	89_6	What are other similar plants from the native area flytrap venus	What are other similar plants from its native area?
89	7	89_7	How do populations of predators and prey relate flytrap venus	How do populations of predators and prey relate?
89	8	89_8	Why would the roles of predators and prey become reversed to the point that prey begin to eat the predators	Why would the roles reverse?
89	9	89_9	How does the relationship influence biodiversity predator prey flytraps venus	How does the relationship influence biodiversity?
89	10	89_10	What are examples of apex predators	What are examples of these predators?
89	11	89_11	Why would humans be considered one of the top predators	Why would humans be considered one?
90	1	90_1	Which is the biggest commercial plane	Which is the biggest commercial plane?
90	2	90_2	What are the operational costs of the Airbus A380	What are its operational costs?
90	3	90_3	How does the Airbus A330's fuel consumption compare to its competitors	How does its fuel consumption compare to its competitors?
90	4	90_4	How do the freighter versions compare to the A380	How do the freighter versions compare to each other?
90	5	90_5	Why did the Airbus A380 stop being produced	Why did the A380 stop being produced?
90	6	90_6	What was Boeing's response to compete with the British jet fighter production a380	What was Boeing's response to compete with it?
90	7	90_7	What is the newest version of the Boeing 777-10X and what is better about it a350 a380	What is the newest version and what is better about it?
90	8	90_8	What are the differences between the Boeing 777X and the Airbus A350 777	What are the differences between the variants?
91	1	91_1	What is the purpose of GDPR	What is the purpose of GDPR?
91	2	91_2	What is different compared to previous legislation general data protection gdpr	What is different compared to previous legislation?
91	3	91_3	What are the privacy implications of GDPR data	What are the privacy implications of those technologies?
91	4	91_4	What is the full range of personal data gdpr	Oh, IP addresses are considered PII? What is the full range of personal data?
91	5	91_5	How do big companies adapt to GDPR	How do big companies adapt to GDPR?
91	6	91_6	Tell me about the privacy issues in social networks gdpr	OK. Tell me about the privacy issues in social networks.
91	7	91_7	What do big companies get in return for their privacy networking social sites	What do they get in return for their privacy?
91	8	91_8	What are the symptoms of that addiction network social	What are the symptoms of that addiction?
92	1	92_1	Do shoulder braces help recover from an injury	Do shoulder braces help recover from an injury?
92	2	92_2	Tell me more about some exercises that could help with shoulder braces	Tell me more about some exercises that could help.
92	3	92_3	What are some others of the rotator cuff shoulder circles pendulum braces exercises	What are some others?
92	4	92_4	How do I know if my shoulder is serious syndromes impingement exercises	How do I know if it's serious?
92	5	92_5	When should you consider surgery for a shoulder	When should you consider surgery?
92	6	92_6	That seems extreme surgical surgery	That seems extreme. What are other ways to treat the pain?
92	7	92_7	How do I stop my shoulder from hurting at my desk	How do I stop it from hurting at my desk?
92	8	92_8	What are the benefits of a standing desk and the dynamic nature of how I structure my day now shoulder braces	What are the benefits of a standing one?
93	1	93_1	Tell me about purchasing a Burger King franchise	Tell me about purchasing a Burger King franchise.
93	2	93_2	No, not information about the Burger King Corporation acquisition	No, not information about its acquisition. I want to know how to open a franchise.
93	3	93_3	Is there any financial support for the burger king franchise fee	Is there any financial support for the fee?
93	4	93_4	How much does an owner typically make in Burger King	How much does an owner typically make?
93	5	93_5	Is it better to be a franchise or independent king mcdonalds burger	Is it better to be a franchise or independent?
93	6	93_6	What support does Burger King Restaurant provide for the Franchise Agreement	What support does it provide?
93	7	93_7	What is the process for being a Burger King franchise or independent	OK let's do it. What is the process?
94	1	94_1	How did snowboarding begin	How did snowboarding begin?
94	2	94_2	Who were the winners of the Snowboarding Olympics	Interesting. That's later than I expected. Who were the winners?
94	3	94_3	What are strap-in bindings snowboarding	What are strap-in bindings?
94	4	94_4	What's an alternative to this binding style strap	What's an alternative to this binding style?
94	5	94_5	What else do I need for my first time xpath bindings	What else do I need for my first time?
94	6	94_6	How can I teach myself to get started with snowboarding	How can I teach myself to get started?
94	7	94_7	What are the best slopes in Seattle	What are the best slopes in Seattle?
94	8	94_8	What are other things to do at Bachelor ski snowboarding slopes	What are other things to do at Bachelor?
95	1	95_1	How are waste and garbage processed	How are waste and garbage processed?
95	2	95_2	Interesting. What is the impact of burning on the environment waste	Interesting. What is the impact of burning on the environment?
95	3	95_3	So you can compact waste processing; why does the nitrogen tie-up slow the waste processing burning stubble	So you can compact them; why does it slow the waste processing?
95	4	95_4	How is sewage recycled	How is sewage recycled?
95	5	95_5	What are the pros and cons of recycling vs composting	What are the pros and cons of recycling vs composting?
95	6	95_6	Tell me more about biodegradable plastics	Tell me more about biodegradable plastics.
95	7	95_7	How are plastics made polymers.aterials polymer	How are they made?
95	8	95_8	How is corn oil used in the food industry	How is corn oil used?
96	1	96_1	How do you make Japanese Yakiniku	How do you make Japanese Yakiniku?
96	2	96_2	Can the sauce be used in other dishes japanese yakiniku	Can the sauce be used in other dishes?
96	3	96_3	What are the best Yakiniku restaurants in Tokyo	What are the best Yakiniku restaurants in Tokyo?
96	4	96_4	Tell me about three star Michelin sushi restaurants in Tokyo yakiniku	Tell me about three star Michelin sushi restaurants there.
96	5	96_5	Oh you need an agent to make reservations for Japanese Yakiniku restaurants ishikawa	Oh you need an agent to make reservations?
96	6	96_6	Tell me other fun things to do in Tokyo sukiyabashi jiro restaurants	Tell me other fun things to do there.
96	7	96_7	What is the cost of living in Tokyo compared to NYC	What is the cost of living there compared to NYC?
96	8	96_8	What is the salary of foreign law firms in Tokyo	What is the salary of foreign law firms there?
97	1	97_1	Who are the rivals of the Steelers	Who are the rivals of the Steelers?
97	2	97_2	What are notable games between Ravens versus Steelers	What are notable games between Ravens versus Steelers?
97	3	97_3	And notable moments in the Steelers rivalry ravens	And notable moments in their rivalry?
97	4	97_4	Tell me more about that Polamalu's interception	Tell me more about that Polamalu's interception.
97	5	97_5	How do you think about Polamalu's pick-6 polamalu	How about his pick-6?
97	6	97_6	Tell me more about the immaculate reception of Polamalu	Tell me more about the immaculate reception.
97	7	97_7	What happened to the stadium in Pittsburgh steelers	What happened to the stadium?
97	8	97_8	Tell me more about the Steelers' defense	Tell me more about their defense.
98	1	98_1	What is the environmental cost of food production	What is the environmental cost of food production?
98	2	98_2	How is that for meat	Oh that much water? How is that for meat?
98	3	98_3	How much less is used for vegetables	How much less is used for vegetables?
98	4	98_4	What are the benefits of being vegetarian	What are the benefits of being vegetarian?
98	5	98_5	Are there any health concerns about being vegetarian diet	Are there any health concerns?
98	6	98_6	What are the sources of proteins in food	What are their sources of proteins?
98	7	98_7	Oh almonds	Oh almonds? Can you show me recipes with it?
98	8	98_8	How do you make the flour macaroon macaron	How do you make the flour?
99	1	99_1	What is high blood carbon dioxide	What is high blood carbon dioxide?
99	2	99_2	What should you do to treat high carbon dioxide level in the blood hypercapnia	What should you do to treat it?
99	3	99_3	How do you test for high cholesterol	How about high cholesterol?
99	4	99_4	What should I eat to improve blood carbon dioxide cholesterol high	What should I eat to improve it?
99	5	99_5	What are the differences between the two fats	What are the differences between the two fats?
99	6	99_6	Is the other fat good for you saturated	So, there are two types.  Is the other fat good for you?
99	7	99_7	Oh I like fish	Oh I like fish.  What other foods are good sources?
99	8	99_8	What types of olive oil contains fats	What types does olive oil contain?
100	1	100_1	What causes my teeth to chip off	What causes my teeth to chip off?
100	2	100_2	Oh, what can dental surgeons do to fix a chipped or broken tooth teeth dentist	Oh, what can they do to fix it?
100	3	100_3	I have a larger chip, how do the options different for repairing chipped teeth tooth dental	I have a larger chip, how do the options different?
100	4	100_4	What about using an implant	A crown sounds better. What about using an implant?
100	5	100_5	Which one of the dental implants is more expensive crown	Which one is more expensive?
100	6	100_6	What is the coverage of the crown in insurance	What is the coverage of the crown in insurance?
100	7	100_7	I mean medicare coverage for porcelain-fused-to-metal crowns	I meant medicare
100	8	100_8	Show me covered dentists in Seattle	Show me covered dentists in Seattle
101	1	101_1	What is Melania Trump's religion	What is Melania Trump's religion?
101	2	101_2	What did Melania Trump do before she was married melanija	What did she do before she was married?
101	3	101_3	Does Melania Trump have children	Does she have children?
101	4	101_4	How old is Melania Trump donald	How old is he?
101	5	101_5	Where is Melania Trump's Kit Kat Club	They met at the Kit Kat Club?  Where is that?
101	6	101_6	When did Melania Trump become a model	When did she become a model?
101	7	101_7	Do we pay the First Lady melania trump	Do we pay the First Lady?
101	8	101_8	What about Ivanka Trump melania melanija	What about Ivanka?
101	9	101_9	And Jared ivana donald trump	And Jared?
101	10	101_10	What does Jared Rosholt do at the White House melania trump	What does he do at the White House?
102	1	102_1	When did social security start in the US	When did social security start in the US?
102	2	102_2	Was social insurance mandatory security	Was it mandatory?
102	3	102_3	Who received the first check in social security	Who received the first check?
102	4	102_4	When did the government start borrowing from Social Security	When did the government start borrowing from it?
102	5	102_5	How much is owed to retirees in the Social Security program	How much is owed?
102	6	102_6	When will the government run out of money ncp ncpas	When will it run out of money?
102	7	102_7	Wow! What will happen to the social security trust fund	Wow! What will happen?
102	8	102_8	Can Social Security be fixed checks	Can it be fixed?
102	9	102_9	How much of an increase in the Social Security retirement age is figured at the average of $1	How much of an increase?
103	1	103_1	Why were the Dead such an influential live band	Why were the Dead such an influential live band?
103	2	103_2	Why did the Dead allow live recordings of the Dead	Why did they allow live recordings?
103	3	103_3	Did the Dead have a #1 hit	Did they have a #1 hit?
103	4	103_4	Who was the leader of the Walking Dead	Who was the leader?
103	5	103_5	How did Jerry Garcia lose his finger john	How did he lose his finger?
103	6	103_6	What was Raynaud's relationship to the Airplane	What was his relationship to the Airplane?
103	7	103_7	Is Cassidy about Jack Casady	Is Cassidy about Jack Casady?
103	8	103_8	Who wrote the Dead's song jack cassidy	Who wrote it?
103	9	103_9	What else did the Grateful Dead write cassidy	What else did they write?
103	10	103_10	Why did the band break up dead	Why did the band break up?
104	1	104_1	Who are some of the well-known Information Retrieval researchers	Who are some of the well-known Information Retrieval researchers?
104	2	104_2	What did Bruce Croft work on	What did he work on?
104	3	104_3	Who are some important British ones information retrieval researchers	Who are some important British ones?
104	4	104_4	What did Cyril Cleverdon's studies contribute to evaluation of  information retrieval systems	What did his studies contribute to evaluation?
104	5	104_5	What are some criticisms of the Cranfield experiment information research cleverdon retrieval	What are some criticisms of the experiments?
104	6	104_6	How did bricks and mortar experiments influence modern initiatives	How did they influence modern initiatives?
104	7	104_7	What is TREC information retrieval	What is TREC?
104	8	104_8	What are some recent tasks in the French Techniques de Randonnée Équestre de Compét trec	What are some recent tasks?
104	9	104_9	What's that trec	e-Discovery?  What's that?
104	10	104_10	What are the important components of a test collection pega	What are the important components of a test collection?
104	11	104_11	What about benchmarks for music	What about benchmarks for music?
104	12	104_12	What are important measures for web search engines	What are important measures for web search engines?
104	13	104_13	What about online metrics for web search engines information measures retrieval	What about online ones?
105	1	105_1	When did the Black Lives Matter campaign begin	When did the Black Lives Matter campaign begin?
105	2	105_2	Tell me more about what happened during the Black Lives Matter campaign	Tell me more about what happened.
105	3	105_3	Why was Zimmerman acquitted george trayvon martin	Why was he acquitted?
105	4	105_4	And how about what happened to Brown	And how about what happened to Brown?
105	5	105_5	Who named the movement in Ferguson lives black matter brown campaign	Who named the movement?
105	6	105_6	What was the US reaction to the Black Lives Matter movement	What was the US reaction to it?
105	7	105_7	Tell me more about the movement of the police supporters matter lives black	Tell me more about the movement of the police supporters.
105	8	105_8	Why were NYPD officers Rafael Ramos and Wenjian Liu killed	Why were they killed?
105	9	105_9	What else motiv	What else motivates the Black Lives Matter movement?
