conversation_id	turn_id	id	query	original
95	3	95_3	Why does waste compaction slow the biodegradation of organic waste?	So you can compact them; why does it slow the waste processing?
95	4	95_4	How is sewage recycled?	How is sewage recycled?
95	5	95_5	What are the pros and cons of recycling vs composting garbage?	What are the pros and cons of recycling vs composting?
95	6	95_6	Tell me more about biodegradable plastics.	Tell me more about biodegradable plastics.
95	7	95_7	How are biodegradable plastics made?	How are they made?
95	8	95_8	How is corn oil used to make biodegradable plastics?	How is corn oil used?
96	1	96_1	How do you make Japanese Yakiniku ?	How do you make Japanese Yakiniku?
96	2	96_2	Can the sauce for Yakiniku be used in other dishes?	Can the sauce be used in other dishes?
96	3	96_3	What are the best Yakiniku restaurants in Tokyo?	What are the best Yakiniku restaurants in Tokyo?
96	4	96_4	Tell me about three star Michelin sushi restaurants in Tokyo.	Tell me about three star Michelin sushi restaurants there.
96	5	96_5	How do I make dinner reservations in Tokyo restaurants?	Oh you need an agent to make reservations?
96	6	96_6	Tell me what other fun things there are to do in Tokyo besides eating.	Tell me other fun things to do there.
96	7	96_7	What is the cost of living in Tokyo compared to New York City (NYC)?	What is the cost of living there compared to NYC?
96	8	96_8	What is the salary of working in foreign law firms in Tokyo?	What is the salary of foreign law firms there?
97	1	97_1	Who are the rivals of the Pittsburgh Steelers?	Who are the rivals of the Steelers?
97	2	97_2	What are notable games between Baltimore Ravens versus Pittsburgh Steelers	What are notable games between Ravens versus Steelers?
97	3	97_3	What are notable moments in the Ravens and Steelers rivalry?	And notable moments in their rivalry?
97	4	97_4	Tell me more about Polamalu's Interception versus Ravens in the 2008 AFC Championship game.	Tell me more about that Polamalu's interception.
97	5	97_5	How about Polamalu's interception return touchdown?	How about his pick-6?
97	6	97_6	Tell me more about the immaculate reception of Pittsburgh Steelers.	Tell me more about the immaculate reception.
97	7	97_7	What happened to Three Rivers stadium?	What happened to the stadium?
97	8	97_8	Tell me more about Steelers' defense scheme.	Tell me more about their defense.
98	1	98_1	What is the environmental cost of food production?	What is the environmental cost of food production?
98	2	98_2	Oh that much water? How much water is used in meat production?	Oh that much water? How is that for meat?
98	3	98_3	How much less water is used to produce vegetables compared to meat?	How much less is used for vegetables?
98	4	98_4	What are the benefits of being vegetarian to the environment?	What are the benefits of being vegetarian?
98	5	98_5	Are there any health concerns of being vegetarian?	Are there any health concerns?
98	6	98_6	What are the sources of proteins for vegetarians?	What are their sources of proteins?
98	7	98_7	Can you show me vegetarian recipes with almonds?	Oh almonds? Can you show me recipes with it?
98	8	98_8	How do you make almond flour?	How do you make the flour?
99	1	99_1	What is high blood carbon dioxide?	What is high blood carbon dioxide?
99	2	99_2	What should you do to treat hypercapnia?	What should you do to treat it?
99	3	99_3	What are treatments for high cholesterol?	How about high cholesterol?
99	4	99_4	What should I eat to improve high cholesterol?	What should I eat to improve it?
99	5	99_5	What are the differences between saturated fat and trans fat?	What are the differences between the two fats?
99	6	99_6	What are the benefits of unsaturated fats?	So, there are two types.  Is the other fat good for you?
99	7	99_7	Oh, I like fish. What foods besides fish are good sources of unsaturated fats?	Oh I like fish.  What other foods are good sources?
99	8	99_8	What types of unsaturated fats does olive oil contain?	What types does olive oil contain?
100	1	100_1	What causes my teeth to chip off?	What causes my teeth to chip off?
100	2	100_2	Oh, what can dentists do to fix a chipped tooth?	Oh, what can they do to fix it?
100	3	100_3	What are the differences between dental crowns and veneers?	I have a larger chip, how do the options different?
100	4	100_4	How does an implant compare to a crown?	A crown sounds better. What about using an implant?
100	5	100_5	Which one of dental implants or crowns is more expensive?	Which one is more expensive?
100	6	100_6	What is the coverage of the crown in insurance?	What is the coverage of the crown in insurance?
100	7	100_7	What is the coverage of the crown in medicare?	I meant medicare
100	8	100_8	Show me medicare dentists in Seattle	Show me covered dentists in Seattle
101	1	101_1	What is Melania Trump's religion?	What is Melania Trump's religion?
101	2	101_2	What did Melania Trump do before she was married?	What did she do before she was married?
101	3	101_3	Does Melania Trump have children?	Does she have children?
101	4	101_4	How old is Barron Trump?	How old is he?
101	5	101_5	Donald and Melania Trump met at the Kit Kat Club?  Where is the Kit Kat Club?	They met at the Kit Kat Club?  Where is that?
101	6	101_6	When did Melania Trump become a model?	When did she become a model?
101	7	101_7	Does the public pay the First Lady of the United States?	Do we pay the First Lady?
101	8	101_8	Does the public pay Ivanka Trump?	What about Ivanka?
101	9	101_9	Does the public pay Jared Kushner?	And Jared?
101	10	101_10	What does Jared Kushner do at the White House?	What does he do at the White House?
102	1	102_1	When did social security start in the United States (US)?	When did social security start in the US?
102	2	102_2	Was social security mandatory?	Was it mandatory?
102	3	102_3	Who received the first social security check?	Who received the first check?
102	4	102_4	When did the government start borrowing from social security?	When did the government start borrowing from it?
102	5	102_5	How much money is owed to social security?	How much is owed?
102	6	102_6	When will social security run out of money?	When will it run out of money?
102	7	102_7	Wow! What will happen if social security runs out of money?	Wow! What will happen?
102	8	102_8	Can social security be fixed?	Can it be fixed?
102	9	102_9	How much of a tax increase will keep social security solvent?	How much of an increase?
103	1	103_1	Why were the Grateful Dead such an influential live band?	Why were the Dead such an influential live band?
103	2	103_2	Why did the Grateful Dead allow live recordings?	Why did they allow live recordings?
103	3	103_3	Did the Grateful Dead have a number one hit?	Did they have a #1 hit?
103	4	103_4	Who was the leader of the Grateful Dead?	Who was the leader?
103	5	103_5	How did Jerry Garcia lose his finger?	How did he lose his finger?
103	6	103_6	What was Jerry Garcia's relationship to Jefferson Airplane?	What was his relationship to the Airplane?
103	7	103_7	Is Cassidy about Jack Casady?	Is Cassidy about Jack Casady?
103	8	103_8	Who wrote Cassidy?	Who wrote it?
103	9	103_9	What else did John Barlow and Bob Weir write?	What else did they write?
103	10	103_10	Why did the Grateful Dead break up?	Why did the band break up?
104	1	104_1	Who are some of the well-known Information Retrieval researchers?	Who are some of the well-known Information Retrieval researchers?
104	2	104_2	What Information Retrieval research did Bruce Croft work on?	What did he work on?
104	3	104_3	Who are some important British Information Retrieval researchers?	Who are some important British ones?
104	4	104_4	What did Cyril Cleverdon's studies contribute to the evaluation of Information Retrieval systems?	What did his studies contribute to evaluation?
104	5	104_5	What are some criticisms of the Cranfield project experiments?	What are some criticisms of the experiments?
104	6	104_6	How did the Cranfield Experiments influence modern information retrieval evaluation initiatives?	How did they influence modern initiatives?
104	7	104_7	What is TREC for information retrieval research?	What is TREC?
104	8	104_8	What are some recent TREC tasks?	What are some recent tasks?
104	9	104_9	e-Discovery?  What's that?	e-Discovery?  What's that?
104	10	104_10	What are the important components of an information retrieval test collection?	What are the important components of a test collection?
104	11	104_11	What about evaluation benchmarks for music information retrieval?	What about benchmarks for music?
104	12	104_12	What are important evaluation measures for web search engines?	What are important measures for web search engines?
104	13	104_13	What are important online evaluation metrics for web search?	What about online ones?
105	1	105_1	When did the Black Lives Matter campaign begin?	When did the Black Lives Matter campaign begin?
105	2	105_2	Tell me more about the shooting of Trayvon Martin.	Tell me more about what happened.
105	3	105_3	Why was George Zimmerman acquitted?	Why was he acquitted?
105	4	105_4	And how what happened to Michael Brown?	And how about what happened to Brown?
105	5	105_5	"Who named the movement ""Black Lives Matter""?"	Who named the movement?
105	6	105_6	What was the US reaction to the Black Lives Matter movement?	What was the US reaction to it?
105	7	105_7	Tell me more about the Blue Lives Matter movement.	Tell me more about the movement of the police supporters.
105	8	105_8	Why were Rafael Ramos and Wenjian Liu killed?	Why were they killed?
105	9	105_9	What else motivates the Black Lives Matter movement?	What else motivates the Black Lives Matter movement?
