conversation_id	turn_id	id	query	original
85	7	85_7	How can I run successfully successfully?	How can I run it successfully?
85	8	85_8	What are some good examples to learn from the Empire?	What are some good examples to learn from?
85	9	85_9	"what made the flavors "" successful?"	Besides inventive flavors, what made it successful?
86	1	86_1	What is the climate like in Utah?	What is the climate like in Utah?
86	2	86_2	How does Salt Lake City differ?	How does Salt Lake City differ?
86	3	86_3	What is its main economic activity?	What is its main economic activity?
86	4	86_4	What was the impact of the 2002 games?	What was the impact of the 2002 games?
86	5	86_5	What were important ski locations used by the 2002 Olympics?	What were important ski locations used?
86	6	86_6	What are the important non - ski events that happen to Utah Weather?	What are the important non-ski events that happen in the city?
86	7	86_7	What about popular non - winter things to do in the area?	What about some popular non-winter things to do in the area?
87	1	87_1	What are the different types of orange trees?	What are the different types of orange trees?
87	2	87_2	How can you tell the orange trees apart?	How can you tell them apart?
87	3	87_3	What type has thorns?	What type has thorns?
87	4	87_4	Where do the originally originally come from?	Where do they originally come from?
87	5	87_5	Tell me about the Hamlin variety.	Tell me about the Hamlin variety.
87	6	87_6	Why did the orange variety replace PB?	Why did it replace PB?
87	7	87_7	What are the different types of navels?	What are the different types of navels?
87	8	87_8	Which is the most delicious in the first part of the 18th century?	Which is the most delicious?
87	9	87_9	How do the compare with blood oranges?	How do they compare with blood oranges?
88	1	88_1	Can I have some information on the labor systems of the Ottoman Empire?	Can I have some information on the labor systems of the Ottoman Empire?
88	2	88_2	What was the role of slavery?	What was the role of slavery?
88	3	88_3	How did Sexual of the Ottoman Empire govern?	How did it govern?
88	4	88_4	Why was the Ottoman Empire systematic?	Why was it important?
88	5	88_5	What was the culture like?	What was the culture like?
88	6	88_6	What was the role of storytellers in the Ottoman Empire?	What was the role of storytellers?
88	7	88_7	What were popular stories of The Ottoman?	What were popular stories?
88	8	88_8	What was the importance of the millet?	What was the importance of the millet?
88	9	88_9	Why did the British continue the Ottoman century?	Why did the British continue it?
88	10	88_10	What is its historical importance in developing national identities?	What is its historical importance in developing national identities?
89	1	89_1	What is the relationship between predator and prey?	What is the relationship between predator and prey?
89	2	89_2	What do predator plants?	What do predator plants eat?
89	3	89_3	What about Venus flytraps on the difference between predator and prey live?	What about Venus flytraps in particular?
89	4	89_4	Where is Avoid Avoid prey native to?	Where is it native to?
89	5	89_5	How do the relationship between predator and prey attract and catch their prey?	How do they attract and catch their prey?
89	6	89_6	What are other similar plants from its native area other than Venus of Trapping?	What are other similar plants from its native area?
89	7	89_7	How do populations of predators and prey relate?	How do populations of predators and prey relate?
89	8	89_8	Why would the roles reverse to populations?	Why would the roles reverse?
89	9	89_9	How does the relationship influence biodiversity in predator and prey?	How does the relationship influence biodiversity?
89	10	89_10	What are examples of the predators population dynamics?	What are examples of these predators?
89	11	89_11	Why would humans be considered one of predator and prey?	Why would humans be considered one?
90	1	90_1	Which is the biggest commercial plane?	Which is the biggest commercial plane?
90	2	90_2	What are the operational costs of Which is?	What are its operational costs?
90	3	90_3	How does its fuel consumption compare to its competitors?	How does its fuel consumption compare to its competitors?
90	4	90_4	How do the freighter versions compare to each other?	How do the freighter versions compare to each other?
90	5	90_5	Why did the A380 stop being produced?	Why did the A380 stop being produced?
90	6	90_6	What was Boeing's response to compete with the A380 version of FedEx and the United Parcel Service.	What was Boeing's response to compete with it?
90	7	90_7	What is the newest version of what is better about the long airplane?	What is the newest version and what is better about it?
90	8	90_8	What are the differences between the variants?	What are the differences between the variants?
91	1	91_1	What is the purpose of GDPR?	What is the purpose of GDPR?
91	2	91_2	What is different compared to previous legislation for the EU is drafting the General Data Protection Regulation?	What is different compared to previous legislation?
91	3	91_3	What are the privacy implications of those technologies in regards to gdpr?	What are the privacy implications of those technologies?
91	4	91_4	Oh is the full range of personal data besides the General Data Protection Regulation?	Oh, IP addresses are considered PII? What is the full range of personal data?
91	5	91_5	How do big companies adapt to GDPR?	How do big companies adapt to GDPR?
91	6	91_6	OK . Tell me about the privacy issues in social networks besides the General Data Protection Regulation?	OK. Tell me about the privacy issues in social networks.
91	7	91_7	What do n’t get in return for their privacy?	What do they get in return for their privacy?
91	8	91_8	What are the symptoms of addiction?	What are the symptoms of that addiction?
92	1	92_1	Do shoulder braces help recover from an injury?	Do shoulder braces help recover from an injury?
92	2	92_2	Tell me more about some exercises that could help.	Tell me more about some exercises that could help.
92	3	92_3	What are some others?	What are some others?
92	4	92_4	How do I know if Do shoulder braces's serious in addition to injury?	How do I know if it's serious?
92	5	92_5	When should you consider surgery after Do shoulder braces help recover from an injury?	When should you consider surgery?
92	6	92_6	That seems extreme the ways to treat the pain of rotator cuff muscles?	That seems extreme. What are other ways to treat the pain?
92	7	92_7	How do I stop injury from hurting at my desk?	How do I stop it from hurting at my desk?
92	8	92_8	What are the benefits of a standing one in Do shoulder braces?	What are the benefits of a standing one?
93	1	93_1	Tell me about purchasing a Burger King franchise?	Tell me about purchasing a Burger King franchise.
93	2	93_2	Are the not information about its acquisition . I want to know to open a franchise.	No, not information about its acquisition. I want to know how to open a franchise.
93	3	93_3	Is there any financial support by the fee for business?	Is there any financial support for the fee?
93	4	93_4	How much does an owner typically make?	How much does an owner typically make?
93	5	93_5	Is Uncle Sam better to be a franchise or independent?	Is it better to be a franchise or independent?
93	6	93_6	What support does the successor Diageo provide?	What support does it provide?
93	7	93_7	What is the process of the company and paperless system?	OK let's do it. What is the process?
94	1	94_1	How did snowboarding begin?	How did snowboarding begin?
94	2	94_2	Interesting was the winners?	Interesting. That's later than I expected. Who were the winners?
94	3	94_3	What are strap - in bindings?	What are strap-in bindings?
94	4	94_4	What's an alternative to the binding style of How snowboarding?	What's an alternative to this binding style?
94	5	94_5	What else do I need for my first time of snowboarding - in besides the toe?	What else do I need for my first time?
94	6	94_6	How can I teach myself to get started in snowboarding?	How can I teach myself to get started?
94	7	94_7	What are the best slopes in Seattle?	What are the best slopes in Seattle?
94	8	94_8	What are other things to do at Bachelor besides snowboarding toe - strap and riders flock?	What are other things to do at Bachelor?
95	1	95_1	How are waste and garbage processed?	How are waste and garbage processed?
95	2	95_2	Interesting is the impact of burning on the environment?	Interesting. What is the impact of burning on the environment?
95	3	95_3	So you can compact waste processing?	So you can compact them; why does it slow the waste processing?
95	4	95_4	How is sewage recycled?	How is sewage recycled?
95	5	95_5	What are the pros and cons of recycling vs composting?	What are the pros and cons of recycling vs composting?
95	6	95_6	Tell me more about biodegradable plastics.	Tell me more about biodegradable plastics.
95	7	95_7	How are biodegradable made?	How are they made?
95	8	95_8	How is corn oil used?	How is corn oil used?
96	1	96_1	How do you Japanese Yakiniku?	How do you make Japanese Yakiniku?
96	2	96_2	Can the sauce be used in other dishes besides Japanese Food?	Can the sauce be used in other dishes?
96	3	96_3	What are the best Yakiniku restaurants in Tokyo?	What are the best Yakiniku restaurants in Tokyo?
96	4	96_4	Tell me about three star Japanese Yakiniku sushi in Tokyo?	Tell me about three star Michelin sushi restaurants there.
96	5	96_5	Oh you need an agent to make reservations for to Make Yakiniku Sauce to Grill?	Oh you need an agent to make reservations?
96	6	96_6	Tell me other fun things to do besides one non - pasta and non Grill Meat?	Tell me other fun things to do there.
96	7	96_7	What is the cost of living there compared to NYC in Tokyo?	What is the cost of living there compared to NYC?
96	8	96_8	What is the salary of foreign law firms for Make Yakiniku?	What is the salary of foreign law firms there?
97	1	97_1	Who are the rivals of the Steelers?	Who are the rivals of the Steelers?
97	2	97_2	What are notable games between Ravens versus Steelers?	What are notable games between Ravens versus Steelers?
97	3	97_3	And notable moments in the rivalry of the Steelers?	And notable moments in their rivalry?
97	4	97_4	Tell me more about that Polamalu's interception.	Tell me more about that Polamalu's interception.
97	5	97_5	How about the 2008 pick-6 played by the Steelers?	How about his pick-6?
97	6	97_6	Tell me more about the immaculate reception of the Steelers?	Tell me more about the immaculate reception.
97	7	97_7	What happened to the Immaculate Reception thrust the stadium?	What happened to the stadium?
97	8	97_8	Tell me more about the Steelers defense.	Tell me more about their defense.
98	1	98_1	What is the environmental cost of food production?	What is the environmental cost of food production?
98	2	98_2	Oh methane emissions much water? How is U.S. for meat?	Oh that much water? How is that for meat?
98	3	98_3	How much less is used for vegetables?	How much less is used for vegetables?
98	4	98_4	What are the benefits of being vegetarian in regards to production for production?	What are the benefits of being vegetarian?
98	5	98_5	Are there any health concerns about What veganism?	Are there any health concerns?
98	6	98_6	What are their sources of proteins?	What are their sources of proteins?
98	7	98_7	Oh almonds? Can you show me recipes with the food fat production?	Oh almonds? Can you show me recipes with it?
98	8	98_8	How do you make the flour in the cycling?	How do you make the flour?
99	1	99_1	What is high blood carbon dioxide?	What is high blood carbon dioxide?
99	2	99_2	What should you do to treat high blood carbon?	What should you do to treat it?
99	3	99_3	How about high did insufficient blood oxygen levels in the arterial blood?	How about high cholesterol?
99	4	99_4	What should I eat to improve international guidelines on the treatment of blood lipids?	What should I eat to improve it?
99	5	99_5	What are the differences between the two fats during of What?	What are the differences between the two fats?
99	6	99_6	So, the other fat good for you?	So, there are two types.  Is the other fat good for you?
99	7	99_7	Oh I like fish in What other foods are good sources other than the types cause?	Oh I like fish.  What other foods are good sources?
99	8	99_8	What types does olive oil contain from the death of What is?	What types does olive oil contain?
100	1	100_1	What causes my teeth to chip off for?	What causes my teeth to chip off?
100	2	100_2	Oh, what can they do to fix What?	Oh, what can they do to fix it?
100	3	100_3	I have a larger chip, how do the options different on What causes my teeth to chip off?	I have a larger chip, how do the options different?
100	4	100_4	A crown sounds better . What about using an implant?	A crown sounds better. What about using an implant?
100	5	100_5	Which one is more expensive about What causes my teeth to chip off?	Which one is more expensive?
100	6	100_6	What is the coverage of the crown in insurance?	What is the coverage of the crown in insurance?
100	7	100_7	I meant featured about the coverage of the crown in insurance?	I meant medicare
100	8	100_8	What is the evidence of Falling me covered dentists in Seattle?	Show me covered dentists in Seattle
101	1	101_1	What is Melania Trump's religion?	What is Melania Trump's religion?
101	2	101_2	What did Joy FOX do before she was married?	What did she do before she was married?
101	3	101_3	Does Donald Trump have children?	Does she have children?
101	4	101_4	How old is Molnar Trump?	How old is he?
101	5	101_5	They met at the Kit Kat Club?	They met at the Kit Kat Club?  Where is that?
101	6	101_6	When did Meet Melania Trump become a model?	When did she become a model?
101	7	101_7	Do we pay the First Lady?	Do we pay the First Lady?
101	8	101_8	What about Ivanka?	What about Ivanka?
101	9	101_9	And Ivanka Trump?	And Jared?
101	10	101_10	What does Ivanka Trump do at the White House?	What does he do at the White House?
102	1	102_1	When did social security start in the US?	When did social security start in the US?
102	2	102_2	Was Social Security, Survivors)?	Was it mandatory?
102	3	102_3	Who received the first check to Medicare protection?	Who received the first check?
102	4	102_4	When did the government start borrowing from it?	When did the government start borrowing from it?
102	5	102_5	How much is owed of the fan in the US?	How much is owed?
102	6	102_6	When did the US Social Security run out of money?	When will it run out of money?
102	7	102_7	Wow! What will happen after the 2003 economics researchers Hobijn and Lagakos?	Wow! What will happen?
102	8	102_8	Can the Old - Age fund be fixed?	Can it be fixed?
102	9	102_9	How much of an increase for Social Security survivor?	How much of an increase?
103	1	103_1	Why were the Dead such an influential live band?	Why were the Dead such an influential live band?
103	2	103_2	Why did the Grateful Dead allow live recordings?	Why did they allow live recordings?
103	3	103_3	Did Why and Dead have a #1 hit?	Did they have a #1 hit?
103	4	103_4	Who was the leader of The Grateful Dead?	Who was the leader?
103	5	103_5	How did Garcia lose his finger?	How did he lose his finger?
103	6	103_6	What was Why's relationship to the Airplane?	What was his relationship to the Airplane?
103	7	103_7	Is Cassidy about Jack Casady?	Is Cassidy about Jack Casady?
103	8	103_8	Who wrote Jack Casady?	Who wrote it?
103	9	103_9	What else did The Grateful Dead write other than Cassidy?	What else did they write?
103	10	103_10	Why did the band break up for Cassidy?	Why did the band break up?
104	1	104_1	Who are some of the well - known Information Retrieval researchers?	Who are some of the well-known Information Retrieval researchers?
104	2	104_2	What did Bruce Humphrey work on?	What did he work on?
104	3	104_3	Who are some important British ones in the Information Retrieval researchers?	Who are some important British ones?
104	4	104_4	What did Bruce Humphrey's studies contribute to evaluation?	What did his studies contribute to evaluation?
104	5	104_5	What are some criticisms of the Information Retrieval researchers?	What are some criticisms of the experiments?
104	6	104_6	How did the Information Retrieval influence modern initiatives?	How did they influence modern initiatives?
104	7	104_7	What is TREC in the evaluation framework for information retrieval research?	What is TREC?
104	8	104_8	What are some recent tasks of TREC?	What are some recent tasks?
104	9	104_9	spam mail Discovery?	e-Discovery?  What's that?
104	10	104_10	What are the important components of a test collection of TREC?	What are the important components of a test collection?
104	11	104_11	What benchmarks for music in the Text Retrieval Conference?	What about benchmarks for music?
104	12	104_12	What are important measures for web search engines of the Information Retrieval Conference?	What are important measures for web search engines?
104	13	104_13	What about online ones on the evaluation of information?	What about online ones?
105	1	105_1	When did the Black Lives Matter campaign begin?	When did the Black Lives Matter campaign begin?
105	2	105_2	Tell me more about When Black Lives Matter campaign in 2013?	Tell me more about what happened.
105	3	105_3	Why was George acquitted?	Why was he acquitted?
105	4	105_4	And how happened to Brown?	And how about what happened to Brown?
105	5	105_5	Who named the movement for When do?	Who named the movement?
105	6	105_6	What was the US reaction to John Eligon?	What was the US reaction to it?
105	7	105_7	Tell me more about the movement of the police supporters regarding When?	Tell me more about the movement of the police supporters.
105	8	105_8	Why were Blue Lives killed?	Why were they killed?
105	9	105_9	What else happened to the Black Lives Matter movement?	What else motivates the Black Lives Matter movement?
